@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.716535,0.772727,0.927007,0.461538,0.307692,0.9,0.359514
0.744094,0.590909,0.912409,0.461538,0.230769,0.7,0.675571
0.633858,0.590909,0.934307,0.384615,0.230769,0.7,0.043357
0.779528,0.681818,0.919708,0.512821,0.230769,0.4,0.675571
0.811024,0.545455,0.941606,0.512821,0.307692,0.7,0.354929
0.795276,0.454545,0.912409,0.461538,0.384615,0.8,0.675571
0.590551,0.5,0.919708,0.512821,0.769231,0.8,0.052128
0.606299,0.681818,0.992701,0.461538,0.153846,0.6,0.680255
0.771654,0.727273,0.934307,0.384615,0.384615,0.5,0.675571
0.692913,0.5,0.883212,0.25641,0.153846,0.7,0.043357
0.80315,0.954545,0.956204,0.461538,0.461538,0.6,0.371773
0.720472,0.454545,0.956204,0.589744,0.153846,0.4,0.377654
0.606299,0.590909,0.963504,0.666667,0.307692,0.6,0.047742
0.787402,0.590909,0.919708,0.179487,0.615385,0.5,0.680255
0.73622,0.818182,0.963504,0.384615,0.538462,0.6,0.363999
0.625984,0.545455,1,0.179487,0.307692,0.7,0.707167
0.574803,0.681818,0.985401,0.666667,0.384615,0.8,0.052128
0.629921,0.454545,0.927007,0.589744,0.153846,0.8,0.394498
0.744094,0.181818,0.883212,0.051282,0.461538,0.2,0.703777
0.570866,0.727273,0.927007,0.666667,0.307692,0.7,0.699093
0.586614,0.318182,0.905109,0.333333,0.615385,0.7,0.694309
0.822835,0.5,0.919708,0.333333,0.307692,0.3,0.675571
0.685039,0.636364,0.912409,0.512821,0.461538,0.9,0.363999
0.559055,0.363636,0,0.512821,0.230769,0.7,0.377654
0.614173,0.727273,0.992701,0.589744,0.461538,0.5,0.359514
0.84252,0.454545,0.883212,0.051282,0.615385,0.5,0.675571
