@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,14-15-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.795275,0.772727,0.919708,0.25641,0.461538,0.5,0.785739
0.598425,0.681818,0.919708,0.384615,0.384615,0.8,0.357215
0.740157,0.590909,0.934307,0.25641,0.923077,0.5,0.357215
0.527559,0.818182,0.963504,1,0.461538,0.8,0.142954
0.641732,0.545455,0.934307,0.333333,0.230769,0.6,0.785739
0.61811,0.454545,0.948905,0.461538,0.384615,1,0.785739
0.744094,0.909091,0.934307,0.384615,0.461538,0.8,0.785739
0.740157,0.818182,0.956204,0.666667,0.307692,0.5,0.785739
0.633858,0.409091,0.905109,0.384615,0.615385,0.7,0.357215
0.75197,0.545455,0.919708,0.512821,0.384615,0.7,0.357215
0.543307,0.681818,0.839416,0.512821,0.384615,0.8,0.357215
0.759843,0.545455,0.868613,0.333333,0.230769,0.5,0.785739
0.669291,0.681818,0.919708,0.461538,0.384615,0.7,0.785739
0.779528,0.363636,0.956204,0.179487,0.307692,0.9,0.785739
0.838583,0.954545,0.934307,0.512821,0.307692,0,0.357215
0.539371,0.772727,0.978102,0.923077,0.538462,0.6,0.357215
0.610236,0.545455,0.919708,0.461538,0.384615,0.6,0.357215
0.740157,0.272727,0.919708,0.333333,0.307692,0.5,0.357215
0.629922,0.636364,0.839416,0.512821,0.307692,0.6,0.357215
0.633858,0.590909,0.956204,0.512821,0.384615,0.6,0.785739
0.551182,0.5,0.912409,0.461538,0.307692,0.8,0.357215
0.677166,0.863636,0.956204,0.717949,0.461538,0.7,0.785739
0.637795,0.545455,1,0.589744,0.230769,0.8,0.785739
0.700788,0.409091,0,0.512821,0.461538,0.7,0.357215
0.795275,0.590909,0.919708,0.512821,0.230769,0.6,0.785739
0.657481,0.227273,0.912409,0.512821,0.384615,0.8,0.785739
0.834646,0.818182,0,0.461538,0.461538,0.4,0.785739
0.586614,0.545455,0.941606,0.461538,0.307692,0.7,0.785739
0.629922,0.590909,0.956204,0.589744,0.384615,0.6,0.785739
0.633858,0.727273,0.970803,0.794872,0.307692,0.9,0.142954
0.566929,0.5,0.963504,0.512821,0.538462,0.7,0.142954
0.559055,0.363636,0.948905,0.717949,0.384615,0.8,0.357215
0.61811,0.681818,0.912409,0.461538,0.461538,0.6,0.142954
0.661417,0.727273,0.934307,0.512821,0.461538,0.6,0.785739
0.633858,0.5,0.875912,0.461538,0.461538,0.9,0.357215
0.622048,0.272727,0.941606,0.384615,0.461538,0.9,0.785739
0.653544,0.590909,0.912409,0.384615,0.230769,0.5,0.357215
0.716535,0.772727,0.927007,0.461538,0.307692,0.9,0.357215
0.744094,0.590909,0.912409,0.461538,0.230769,0.7,0.357215
0.633858,0.590909,0.934307,0.384615,0.230769,0.7,0.785739
0.779528,0.681818,0.919708,0.512821,0.230769,0.4,0.785739
0.811024,0.545455,0.941606,0.512821,0.307692,0.7,0.785739
0.795275,0.454545,0.912409,0.461538,0.384615,0.8,0.357215
0.590552,0.5,0.919708,0.512821,0.769231,0.8,0.357215
0.6063,0.681818,0.992701,0.461538,0.153846,0.6,0.785739
0.771653,0.727273,0.934307,0.384615,0.384615,0.5,0.785739
0.692913,0.5,0.883212,0.25641,0.153846,0.7,0.785739
0.803151,0.954545,0.956204,0.461538,0.461538,0.6,0.785739
0.720472,0.454545,0.956204,0.589744,0.153846,0.4,0.785739
0.6063,0.590909,0.963504,0.666667,0.307692,0.6,0.785739
0.787402,0.590909,0.919708,0.179487,0.615385,0.5,1
0.736221,0.818182,0.963504,0.384615,0.538462,0.6,0.357215
0.625985,0.545455,1,0.179487,0.307692,0.7,0.357215
0.574804,0.681818,0.985401,0.666667,0.384615,0.8,0.142954
0.629922,0.454545,0.927007,0.589744,0.153846,0.8,0.785739
0.744094,0.181818,0.883212,0.051282,0.461538,0.2,0.357215
0.570866,0.727273,0.927007,0.666667,0.307692,0.7,0.357215
