@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,16-17-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute jialiaoliang numeric
@attribute jialiaocishu numeric
@attribute gongzuoshidianya numeric
@attribute zaosheng numeric
@attribute yangjixingchengri numeric
@attribute yangjixingchengdunlv numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute fehanliang numeric
@attribute sihanliang numeric
@attribute shijichulvliang numeric

@data
0.417445,0.392405,0.527363,0.30303,0.900344,0.681818,0.486486,0.929078,0.439024,0.566667,0.82684,0.093333,0.333333,0.965517
0.493458,0.464135,0.20398,0.636364,0.886598,0.363636,0.459459,0.851064,0.04878,0.766667,0.78355,0.16,0.333333,1
0.54081,0.508439,0.49005,0.272727,0.879725,0.5,0.405405,0.907801,0.317073,0.7,0.61039,0.074667,0.166667,1
0.51838,0.487342,0.149254,0.212121,0.907216,0.409091,0.513514,0.879433,0.317073,0.7,0.65368,0.114667,0.166667,1
0.722741,0.679325,0.223881,0.242424,0.896907,0.727273,0.405405,0.865248,0.121951,0.766667,0.61039,0.093333,0.166667,1
0.517134,0.474684,0.106965,0.333333,0.90378,0.772727,0.324324,0.858156,0.121951,0.766667,0.78355,0.184,0.166667,1
0.397508,0.320675,0.320895,0.181818,0.883162,0.727273,0.432432,0.921986,0.487805,0.666667,0.82684,0.122667,0.5,0.965517
0.44486,0.375527,0.37811,0.181818,0.879725,0.409091,0.567568,0.907801,0.682927,0.633333,0.78355,0.096,0.166667,1
0.65109,0.64135,0.298508,0.333333,0.917526,0.454545,0.513514,0.893617,0.365854,0.766667,0.74026,0.050667,0.166667,1
0.484735,0.485232,0.507463,0.30303,0.914089,0.636364,0.459459,0.914894,0.487805,0.7,0.74026,0.648,0.166667,1
0.482243,0.453586,0.549751,0.393939,0.883162,0.681818,0.405405,0.907801,0.365854,0.666667,0.74026,0.101333,0.166667,1
0.624299,0.616034,0.335821,0.181818,0.893471,0.727273,0.513514,0.907801,0.756098,0.8,0.65368,0.109333,0.166667,0.965517
0.565732,0.561181,0.460199,0.242424,0.886598,0.590909,0.486486,0.921986,0.487805,0.633333,0.74026,0.098667,0.166667,1
0.709034,0.666667,0.390547,0.212121,0.914089,0.636364,0.459459,0.907801,0.243902,0.766667,0.61039,0.114667,0.166667,1
0.482243,0.523207,0.340795,0.545455,0.876289,0.727273,0.405405,0.87234,0.317073,0.4,0.82684,0.058667,0.166667,1
0.52648,0.542194,0.460199,0.212121,0.90378,0.272727,0.351351,0.886525,0.317073,0.2,0.61039,0.04,0.166667,1
0.338941,0.360759,0.31592,0.212121,0.910653,0.318182,0.27027,0.780142,0.04878,0.333333,0.74026,0.149333,0.166667,1
0.484112,0.411392,0.514925,0.454545,0.893471,0.863636,0.324324,0.865248,0.243902,0.566667,0.65368,0.098667,0.166667,1
0.302181,0.316456,1,0.30303,0.745704,0.545455,0.486486,0.893617,0.121951,0.4,0.82684,0.258667,0.333333,1
0.360748,0.318565,0.136816,0.484848,0.886598,0.545455,0.567568,0.907801,0.682927,0.2,0.82684,0.085333,0.166667,1
0.745171,0.810127,0.577114,0.363636,0.872852,0.5,0.486486,0.879433,0.439024,0.5,0.74026,0.058667,0.166667,1
0.449844,0.43038,0.104478,0.151515,0.90378,0.772727,0.594595,0.858156,0.487805,0.466667,0.74026,0.205333,0.166667,1
0.489097,0.459916,0.599502,0.454545,0.872852,0.772727,0.378378,0.900709,0.243902,0.8,0.65368,0.088,0.166667,1
0.737695,0.64346,0.208955,0.212121,0.886598,0.5,0.513514,0.921986,0.487805,0.7,0.65368,0.122667,0.333333,0.965517
0.478505,0.478903,0.199005,0.151515,0.900344,0.409091,0.405405,0.921986,0.634146,0.7,0.74026,0.522667,0.333333,0.965517
0.428037,0.476793,0.141791,0.212121,0.90378,0.5,0.459459,0.907801,0.365854,0.7,0.74026,0.077333,0.333333,0.965517
0.684112,0.64346,0.405472,0.212121,0.862543,0.227273,0.432432,0.921986,0.170732,0.7,0.74026,0.088,0.333333,0.965517
0.54081,0.508439,0.226368,0.242424,0.896907,0.727273,0.486486,0.907801,0.439024,0.766667,0.74026,0.098667,0.333333,1
0.410592,0.386076,0.5199,0.545455,0.90378,0.772727,0.513514,0.893617,0.170732,0.866667,0.65368,0.037333,0.166667,1
0.619315,0.582278,0.325871,0.454545,0.890034,0.318182,0.351351,0.900709,0.121951,0.833333,0.65368,0.101333,0.166667,1
0.618069,0.592827,0.246268,0.181818,0.90378,0.727273,0.594595,0.886525,0.365854,0.833333,0.69697,0.24,0.333333,1
0.682866,0.723629,0.61194,0.212121,0.872852,0.681818,0.459459,0.900709,0.243902,0.7,0.82684,0.114667,0.333333,1
0.599377,0.563291,0.559702,0.393939,0.879725,0.681818,0.540541,0.943262,0.682927,0.766667,0.74026,0.096,0.333333,0.965517
0.529595,0.527426,0.358208,0.151515,0.890034,0.409091,0.540541,0.93617,0.560976,0.766667,0.82684,0.096,0.333333,0.965517
0.583178,0.548523,0.400497,0.212121,0.90378,0.272727,0.594595,0.943262,0.756098,0.7,0.78355,0.072,0.333333,0.965517
0.613084,0.605485,0.487562,0.212121,0.90378,0.727273,0.486486,0.943262,0.560976,0.7,0.82684,0.058667,0.166667,1
0.554517,0.521097,0.181592,0.272727,0.907216,0.636364,0.621622,0.950355,0.756098,0.7,0.65368,0.077333,0.166667,0.965517
0.54081,0.537975,0.338308,0.181818,0.900344,0.545455,0.405405,0.929078,0.439024,0.733333,0.74026,0.066667,0.333333,0.965517
0.482866,0.483122,0.169154,0.212121,0.907216,0.363636,0.567568,0.914894,0.439024,0.766667,0.82684,0.114667,0.166667,1
0.33271,0.341772,0.283582,0.727273,0.910653,0.363636,0.540541,0.921986,0.560976,0.766667,0.69697,0.090667,0.333333,1
0.368224,0.375527,0.18408,0.242424,0.893471,0.727273,0.432432,0.907801,0.487805,0.833333,0.78355,0.026667,0.166667,1
0.504673,0.474684,0.20398,0.181818,0.883162,0.727273,0.486486,0.900709,0.243902,0.533333,0.65368,0.181333,0.333333,0.965517
0.557009,0.552743,0.39801,0.242424,0.90378,0.727273,0.513514,0.886525,0.170732,0.633333,0.69697,0.096,0.166667,0.965517
